PARK,PARK_NO
PINE,1287
RIIS (JACOB),123
POPLAR,323
SCOTTSDALE,265
PRAIRIE WOLF,329
RAILROAD JUNCTION,354
RAINEY (EDWARD),33
RAVENSWOOD MANOR,159
REVERE (PAUL),185
ROBERTS (DANIEL) SQUARE,95
ROGERS (PHILLIP),240
ROGERS (PHILLIP) BEACH,1262
RONAN (GEORGE),275
ROOSEVELT (THEODORE),466
ROWAN (WILLIAM),248
RUTHERFORD SAYRE,127
SCHAEFER (EDWARD),1148
SENECA,1242
SHEIL (BERNARD) COMM. CTR.,398
GARFIELD (JAMES),19
SINTIC (GREGORY),1155
VITTUM (HARRIET ELIZABETH),233
SMITH (JOSEPH HIGGINS),1015
SNAPPING TURTLE,396
SNOWBERRY,389
SPIKINGS FARM,424
SPRUCE,280
STARR (ELLEN GATES),497
STOUT (FLORENCE),291
STROHACKER (HOWARD),1016
SUMAC,1273
SUMMERDALE,1151
SUPERA (LOUIS),1143
SUPERIOR,1150
SWEET CLOVER,430
SYCAMORE,1274
THE GROVE,397
PARK NO. 538,538
THUIS (GRACE ZWIEFKA),1119
TOUHY (PATRICK),246
TREBES,1017
UNITY,293
VETERANS' MEMORIAL,1067
VIOLET,361
WAGNER (CLARENCE),1068
WALLACE,1069
WALNUT,1278
WASHINGTON (HAROLD) MEM.,506
WASHTENAW,1070
WEISMAN (ALBERT),1135
WENDT (KENNETH),1145
AUBURN,1203
WESOLEK (MARLENE),1080
ELM,279
WESTERN,1165
WHITE (EDWARD),379
WIEBOLDT (WILLIAM),449
WILSON (JOHN),1071
WILSON (JOHN) COMM. CTR.,1018
WOLCOTT (ALEXANDER),403
WOOD (ELIZABETH),316
ZATTERBERG (HELEN),1107
DUBKIN (LEONARD),306
PARK NO. 514,514
PRINTERS ROW,543
WEBSTER (DANIEL),513
DONAHUE (MARGARET),570
CORNELL (PAUL),378
PARK NO. 556,556
PARK NO. 577,577
LE CLAIRE - HEARST COMM. CTR,305
PARK NO. 573,573
PARK NO. 578,578
PARK NO. 571,571
PALMER ( POTTER),13
STEELWORKERS,523
PARK NO. 588,588
PARK NO. 590,590
PARK NO. 591,591
PARK NO. 592,592
PARK NO. 580,580
PARK NO. 572,572
HERITAGE GREEN,537
GATLEY (JAMES),244
ADDAMS (JANE),262
BARBERRY,332
BIG MARSH,564
PARK NO. 584,584
PARK NO.584,584
PARK NO. 583,583
MUNROE (ROY),1052
